Req Number,Department,Date,Item #,Item Quantity
214,3000,738231,61300,3
215,4005,738231,60800,7
216,4005,738231,61000,4
217,4005,738231,80000,4
218,4005,738231,80100,4
219,4111,738231,30000,4
220,4111,738231,60600,4
221,4111,738231,60800,6
222,4111,738231,61800,5
223,4111,738231,62000,6
224,2500,738231,80000,7
225,2500,738231,80100,7
226,4005,738236,35000,3
227,6900,738237,102100,2
228,7500,738237,60000,6
229,7500,738237,10100,4
230,7500,738237,70200,30
231,7500,738237,70300,30
232,7500,738237,20300,1
233,7500,738237,61300,6
234,3000,738237,102100,1
235,4005,738237,80000,86
236,4005,738237,80100,86
237,4005,738237,35600,4
238,4005,738237,10200,8
239,4005,738237,20000,2
240,4005,738237,20200,1
241,4005,738237,10000,1
242,4005,738237,30000,4
243,4005,738237,90600,24
244,6632,738237,75100,15
245,4005,738237,80000,2
246,4005,738237,80100,2
247,4005,738237,80000,7
248,4005,738237,80100,9
249,4005,738237,45000,4
250,6699,738237,75000,3
251,2256,738237,20000,2
252,2256,738237,20200,1
253,5000,738237,20000,1
254,2256,738237,20000,2
255,2256,738237,20200,1
256,4005,738237,20300,1
257,4005,738237,30000,8
258,4005,738237,10200,4
259,4005,738237,10000,1
260,4005,738237,80000,4
261,4005,738237,80100,5
262,3000,738237,80600,2
263,3000,738237,20200,1
264,3000,738237,80900,1
265,4000,738237,10100,1
266,4000,738237,60800,1
267,4000,738237,35600,1
268,3000,738237,10000,1
269,7500,738237,10000,1
270,5612,738237,35600,1
271,4005,738237,20000,1
272,4113,738237,10700,1
273,4113,738237,100000,2
274,3000,738237,51600,12
275,3000,738237,41600,2
276,3000,738237,81400,2
277,3000,738237,81500,3
278,3000,738237,60300,2
279,3000,738237,101100,36
280,4005,738237,40000,1
281,4005,738237,40100,1
282,4005,738237,80000,2
283,4005,738237,80100,2
284,4005,738237,10300,16
285,4005,738237,10200,25
286,4005,738237,70100,40
287,4005,738237,70200,40
288,4005,738237,70300,40
289,6900,738237,60700,1
290,4005,738239,80000,4
291,4005,738239,80100,4
292,6900,738250,10000,50
293,6900,738250,10100,100
294,6900,738250,10200,100
295,4113,738250,80000,1
296,4113,738250,80100,1
297,4113,738250,10700,1
298,4005,738250,10200,2
299,3000,738251,60800,1
300,3000,738251,61000,1
301,2000,738251,10100,1
302,2000,738251,10200,1
303,4005,738251,80200,1
304,6632,738251,20400,25
305,4005,738251,10200,1
306,4005,738251,90800,1
307,4005,738251,90900,1
308,6632,738251,80000,7
309,6632,738251,80100,7
310,4005,738251,10200,2
311,2000,738251,61300,3
312,4005,738251,103300,3
313,4005,738251,61300,1
314,4005,738251,20000,2
315,6782,738251,45000,24
316,6782,738251,51300,24
317,4005,738251,10200,2
318,4005,738251,70300,1
319,2256,738251,20300,1
320,2256,738251,20000,5
321,2256,738251,10100,1
322,3000,738251,61300,1
323,3000,738251,80900,1
324,4113,738251,80100,6
325,4005,738251,35000,1
326,4005,738251,80100,1
327,6632,738251,20300,20
328,6632,738251,10000,10
329,6632,738251,20400,6
330,6632,738251,10200,10
331,6632,738251,70100,20
332,6632,738251,70200,20
333,6632,738251,70300,20
334,6699,738251,30000,40
335,9000,738251,30100,1
336,4005,738251,80200,1
337,4005,738251,41600,2
338,4005,738251,51000,1
339,3000,738251,103500,1
340,3000,738251,103600,1
341,6500,738251,60200,4
342,6500,738251,60800,4
343,6500,738251,60500,3
344,6500,738251,70300,10
345,6500,738251,60000,12
346,6500,738251,102700,1
347,6699,738251,30000,4
348,6699,738251,35700,12
349,2000,738251,80300,2
350,4005,738251,80000,10
351,4005,738251,80100,10
352,3000,738251,45000,12
353,3000,738251,80100,10
354,6699,738251,50200,20
355,4005,738251,10200,2
356,4005,738251,10100,1
357,4005,738251,10000,1
358,4005,738251,20200,2
359,2256,738251,10200,4
360,4005,738251,70300,10
361,6671,738251,20300,48
362,6671,738251,20400,48
363,4005,738251,81800,4
364,4001,738252,100000,2
365,3000,738252,10100,100
366,3000,738253,62000,2
367,3000,738253,61100,1
368,3000,738253,60000,4
369,3000,738253,35100,1
370,3000,738253,61300,4
371,3000,738253,70500,2
372,3000,738253,103300,2
373,3000,738253,51500,2
374,3000,738253,60200,1
375,3000,738253,35500,2
376,3000,738253,35600,2
377,4005,738253,61000,2
378,4005,738253,60800,1
379,4005,738253,45000,1
380,3000,738253,60700,1
381,3000,738253,61300,1
382,3000,738253,60700,1
383,3000,738253,45000,2
384,4005,738253,103300,1
385,3000,738253,103500,1
386,4005,738253,10200,2
387,4001,738253,10200,3
388,3000,738253,60000,5
389,3000,738253,60200,3
390,3000,738253,61800,3
391,3000,738253,60800,3
392,3000,738253,60600,3
393,4005,738253,60600,2
394,3000,738253,61400,3
395,4005,738253,10200,1
396,3000,738253,51600,3
397,3000,738253,61000,1
398,4000,738253,100000,2
399,4000,738253,60500,1
400,4000,738253,60000,1
401,4000,738253,81300,1
402,3000,738256,20000,3
403,4005,738256,81400,1
404,4005,738256,81500,2
405,4005,738256,35700,2
406,4005,738256,60800,1
407,4005,738256,103100,1
408,3001,738256,10700,1
409,3001,738256,100000,1
410,3001,738256,20000,2
411,3001,738256,35600,6
412,3001,738256,45000,4
413,3001,738256,100800,4
414,3001,738256,51000,1
415,3001,738256,51100,1
416,3001,738256,60800,2
417,3001,738256,81400,2
418,3001,738256,61800,2
419,3001,738256,60600,2
420,3001,738256,70500,4
421,3001,738256,81800,3
422,3001,738256,103300,1
423,3001,738256,80100,1
424,3000,738256,51100,3
425,3000,738256,61800,3
426,3000,738256,60600,3
427,3000,738256,60000,3
428,3000,738256,60500,3
429,3000,738256,10200,3
430,3000,738256,60800,2
431,3000,738256,61300,4
432,3000,738256,61200,2
433,3000,738256,35500,4
434,3000,738256,35600,4
435,3000,738257,45000,1
436,3000,738257,80100,3
437,3000,738257,101100,36
438,4113,738257,81800,4
439,3000,738257,100800,1
440,4005,738257,45000,1
441,4005,738257,35700,2
442,4005,738257,81500,2
443,3000,738257,100800,1
444,4005,738257,62000,2
445,2000,738258,35500,1
446,2000,738258,35600,6
447,2000,738258,35500,1
448,2000,738258,35600,2
449,2000,738258,62000,1
450,3000,738258,60000,6
451,4005,738258,35700,2
452,4005,738258,45000,2
453,4005,738258,35500,1
454,4005,738258,35600,1
455,4005,738258,62000,1
456,4005,738258,61000,2
457,4005,738258,80100,1
458,4005,738258,61800,1
459,2256,738258,20000,2
460,2256,738258,10200,1
461,6000,738258,10200,9
462,2256,738258,10000,1
463,4005,738258,20300,1
464,4005,738258,91100,24
465,9000,738258,61300,2
466,6900,738259,60700,1
467,6900,738259,61200,1
468,9000,738259,20000,1
469,4005,738259,41600,1
470,4005,738259,81400,1
471,4000,738259,70400,4
472,3000,738259,80900,1
473,3000,738260,103500,1
474,3000,738260,75000,6
475,3000,738260,75400,6
476,4111,738260,100000,1
477,9000,738260,10100,1
478,4005,738263,80100,1
479,3000,738263,75000,5
480,3000,738263,75400,5
481,3000,738265,20200,10
482,6671,738265,10200,20
483,6671,738265,10100,10
484,5612,738267,10200,1
485,7500,738267,60700,2
486,4005,738267,10100,1
487,4005,738267,10200,1
488,4005,738267,10000,1
489,4005,738267,20200,1
490,4005,738267,20100,2
491,3001,738267,10100,1
492,4005,738267,60000,2
493,4005,738267,61000,1
494,4005,738267,60800,1
495,4005,738267,60700,2
496,4005,738267,100800,1
497,4005,738267,51300,2
498,4111,738267,101900,3
499,3000,738267,61300,4
500,3000,738267,60000,5
501,3000,738267,45000,1
502,3000,738267,80100,6
503,3000,738267,61800,6
504,3000,738267,60800,7
505,3000,738267,60400,1
506,3000,738267,51100,2
507,3000,738267,61000,2
508,3000,738267,30000,4
509,5612,738267,20400,1
510,4005,738267,60100,2
511,4005,738267,80600,1
512,4005,738267,20200,3
513,4005,738267,20000,2
514,4005,738267,20300,1
515,4005,738267,30000,8
516,4005,738267,90600,36
517,4005,738267,91100,24
518,4005,738267,10000,1
519,4005,738267,10100,3
520,4005,738267,10200,2
521,4005,738267,61200,1
522,4005,738267,61300,1
523,4005,738267,60700,1
524,4005,738267,35700,3
525,3000,738267,10100,1
526,3000,738267,10400,2
527,3000,738267,10600,2
528,3000,738267,20000,6
529,3000,738267,35500,4
530,3000,738267,35600,6
531,3000,738267,60400,5
532,3000,738267,60500,5
533,3000,738267,60100,6
534,3000,738267,61800,4
535,3000,738267,60800,5
536,3000,738267,61300,4
537,3000,738267,70500,4
538,3000,738267,60600,4
539,3000,738267,80300,1
540,3000,738267,80500,2
541,3000,738267,81800,5
542,3000,738267,61300,24
543,3000,738267,60700,4
544,3000,738267,61000,3
545,3000,738267,60600,10
546,3000,738267,60800,17
547,3000,738267,60300,3
548,3000,738267,61200,4
549,3000,738267,61800,10
550,3000,738267,61900,10
551,3000,738267,35600,5
552,3000,738267,60000,5
553,3000,738267,10400,2
554,3000,738267,45000,4
555,3000,738267,20000,2
556,3000,738267,80000,5
557,3000,738267,80100,9
558,3000,738267,31000,1
559,3000,738271,35600,6
560,4005,738271,80900,4
561,4005,738271,10000,1
562,4005,738271,20000,2
563,4005,738271,90700,1
564,4005,738271,20200,1
565,4005,738271,80000,6
566,4005,738271,80100,6
567,3001,738271,20200,1
568,3001,738271,20000,1
569,4135,738271,20200,2
570,4135,738271,35600,2
571,4135,738271,10200,2
572,4135,738271,90700,2
573,4135,738271,10100,2
574,4135,738271,61300,2
575,3000,738271,62000,5
576,3000,738271,10200,5
577,3000,738271,20000,10
578,3000,738271,35500,5
579,3000,738271,35600,10
580,3000,738271,51000,2
581,3000,738271,51100,2
582,3000,738271,60000,3
583,3000,738271,60200,1
584,3000,738271,60400,4
585,3000,738271,61000,2
586,3000,738271,61200,1
587,3000,738271,61100,2
588,3000,738271,61900,2
589,3000,738271,101500,2
590,3000,738271,80000,5
591,3000,738271,80100,5
592,3000,738271,80200,1
593,3000,738271,80500,2
594,3000,738271,101800,1
595,3000,738271,20000,10
596,3000,738271,35500,6
597,3000,738271,35600,12
598,3000,738271,60000,7
599,3000,738271,60400,10
600,3000,738271,60800,5
601,3000,738271,61300,24
602,3000,738271,61900,3
603,3000,738271,80300,1
604,3000,738271,80500,3
605,3000,738271,61000,1
606,3000,738271,61200,2
607,2300,738273,45100,120
608,4005,738273,10200,1
609,3500,738273,80000,4
610,3500,738273,80100,4
611,3500,738273,102100,1
612,4005,738273,90200,1
613,6671,738273,60700,3
614,6699,738273,103300,6
615,6699,738273,40300,2
616,6900,738273,91100,24
617,6900,738273,35000,6
618,4005,738273,80600,1
619,4005,738273,61200,1
620,4005,738273,80000,20
621,4005,738273,80100,20
622,4005,738273,35600,12
623,4005,738273,20200,2
624,4005,738273,91100,4
625,4005,738273,20300,1
626,4005,738273,61300,10
627,4005,738273,60700,10
628,5612,738273,51600,2
629,3500,738273,20000,1
630,3500,738273,20200,1
631,3500,738273,10000,1
632,3500,738273,10100,1
633,3001,738273,20100,1
634,4005,738273,20300,1
635,2000,738273,20000,1
636,2256,738273,20000,2
637,5000,738273,10000,1
638,5000,738273,10200,1
639,5000,738273,80900,4
640,6000,738273,61300,2
641,6000,738273,51300,2
642,5000,738277,60500,2
643,4005,738277,35300,1
644,4005,738277,80100,1
645,3001,738277,10600,5
646,3001,738277,10200,1
647,4005,738277,61200,12
648,4005,738277,61300,54
649,4005,738277,35600,6
650,4005,738277,30000,4
651,4005,738277,60800,1
652,4005,738277,60400,1
653,3000,738277,20000,1
654,3000,738277,60000,3
655,3000,738277,60500,3
656,3000,738277,60700,2
657,3000,738277,61300,12
658,3000,738277,61200,2
659,3000,738277,80000,6
660,3000,738277,80100,6
661,3000,738277,51100,2
662,3000,738277,60900,1
663,3000,738277,61400,1
664,3000,738277,61500,1
665,3000,738277,80200,2
666,3000,738277,80300,1
667,2345,738277,80000,20
668,2345,738277,80100,20
669,2345,738277,80900,10
670,2345,738277,20000,2
671,2345,738277,101900,10
672,4001,738277,80800,16
673,3000,738278,100000,8
674,3000,738278,60000,4
675,3000,738278,61200,2
676,3000,738278,61300,8
677,3000,738278,61000,1
678,3000,738278,61900,2
679,3000,738278,80500,4
680,3000,738278,20000,4
681,3000,738278,45000,4
682,3000,738278,60000,6
683,3000,738278,61000,4
684,3000,738278,60400,4
685,3000,738278,60800,3
686,3000,738278,61300,6
687,3000,738278,60700,4
688,3000,738278,61800,1
689,3000,738278,20000,10
690,3000,738278,35500,5
691,3000,738278,35600,5
692,3000,738278,51200,2
693,3000,738278,60000,12
694,3000,738278,60400,12
695,3000,738278,60500,12
696,3000,738278,61000,6
697,3000,738278,61200,2
698,3000,738278,60900,2
699,3000,738278,61600,2
700,3000,738278,61700,2
701,3000,738278,61800,5
702,3000,738278,70500,2
703,3000,738278,80300,3
704,3000,738278,101800,5
705,6900,738278,90200,72
706,6900,738278,90800,4
707,2256,738278,80300,2
708,2000,738279,61300,2
709,2000,738279,60000,3
710,2000,738279,60900,1
711,2000,738279,61600,3
712,3001,738279,75000,5
713,3001,738279,75400,5
714,3000,738279,60400,1
715,3000,738279,60100,2
716,3000,738279,60800,1
717,3000,738279,60000,3
718,3000,738279,60500,2
719,2256,738279,80300,6
720,4005,738279,91100,4
721,4005,738279,30100,2
722,4005,738279,10200,4
723,4005,738279,100100,1
724,3000,738284,61300,2
725,4005,738284,20200,21
726,4005,738284,30000,64
727,4005,738284,10200,1
728,4005,738284,80100,50
729,4005,738284,80000,50
730,4005,738284,20500,1
731,4005,738284,91100,1
732,4005,738284,35500,3
733,4005,738284,35600,3
734,4005,738284,45000,1
735,4005,738284,90500,1
736,4005,738284,90700,1
737,4005,738284,90000,125
738,4005,738284,61300,1
739,4005,738284,70000,13
740,4005,738284,70100,4
741,4005,738284,70200,4
742,4005,738284,70300,4
743,4005,738284,70400,1
744,3000,738284,35500,4
745,3000,738284,35600,4
746,3000,738284,45000,12
747,3000,738284,60400,2
748,3000,738284,60800,6
749,3000,738284,60000,12
750,3000,738284,60700,4
751,3000,738284,61300,12
752,3000,738284,60100,12
753,3000,738284,80300,1
754,3000,738284,80500,1
755,3000,738284,61000,3
756,3000,738284,61900,2
757,3000,738284,61200,4
758,3000,738284,80500,2
759,3000,738284,80300,1
760,3000,738284,61900,2
761,3000,738284,75400,1
762,3001,738284,10100,2
763,3001,738284,20200,2
764,3001,738284,20000,1
765,3001,738284,101800,1
766,3001,738284,80100,4
767,3001,738284,45000,4
768,6900,738284,60300,15
769,4000,738284,70400,12
770,4000,738284,60000,48
771,4000,738284,60400,30
772,4000,738284,61900,36
773,4000,738284,60800,60
774,4001,738284,61000,10
775,4001,738284,60400,15
776,4001,738284,10200,5
777,4001,738284,80200,1
778,4001,738284,60800,15
779,2000,738284,60000,4
780,2000,738284,80000,4
781,2000,738284,80100,4
782,2000,738284,61000,4
783,2000,738284,60800,4
784,2000,738284,20000,1
785,2000,738284,60500,4
786,2000,738284,61300,7
787,2000,738284,61200,3
788,2000,738284,35100,5
789,2000,738284,60000,2
790,2000,738284,20000,4
791,2000,738284,60500,6
792,2000,738284,10000,7
793,2000,738284,10100,3
794,2000,738284,61000,6
795,2000,738284,60400,7
796,2000,738284,30100,16
797,2000,738284,61900,4
798,2000,738284,60800,4
799,2000,738284,80900,12
800,2000,738284,35600,12
801,3000,738284,61400,1
802,4005,738284,60500,1
803,2000,738284,61300,2
804,4005,738284,30000,4
805,4135,738284,60400,2
806,4135,738284,60800,2
807,2000,738284,61300,2
808,2000,738284,60700,1
809,2000,738284,61100,1
810,4005,738284,10200,2
811,4005,738284,70400,1
812,4005,738284,10200,2
813,4005,738284,90600,12
814,4005,738284,10200,7
815,3000,738284,101800,1
816,3000,738284,61300,2
817,3000,738284,60100,2
818,2000,738284,20000,1
819,4005,738284,70400,1
820,4005,738284,90200,2
821,4135,738284,20200,7
822,4135,738284,10200,4
823,4135,738284,20500,1
824,4135,738284,30000,16
825,4135,738284,20000,1
826,4135,738284,10200,4
827,4135,738284,10100,2
828,4005,738284,75000,1
829,4005,738284,30000,16
830,2000,738284,60000,3
831,2000,738284,61600,1
832,4005,738284,60000,2
833,7200,738284,60000,1
834,7200,738284,60100,2
835,6632,738284,20000,2
836,4135,738284,61900,1
837,4135,738284,60800,1
838,2256,738284,60200,1
839,2256,738284,60800,1
840,5612,738284,20400,2
841,4005,738284,60100,16
842,4005,738284,60500,14
843,3000,738284,61300,4
844,3000,738284,20000,1
845,4005,738284,10200,12
846,4005,738284,80600,2
847,5000,738284,10100,1
848,5000,738284,10200,1
849,3000,738284,70500,3
850,3000,738284,80200,1
851,2500,738284,70500,2
852,4005,738284,61900,8
853,4005,738284,60800,8
854,3000,738284,61300,15
855,3000,738284,70500,2
856,3000,738284,61600,1
857,3000,738284,80300,1
858,4135,738284,10500,3
859,4135,738284,10600,3
860,3000,738288,61400,2
861,3000,738288,61500,2
862,3000,738288,61600,2
863,3000,738288,61700,2
864,7500,738288,75400,2
